"OWNERID","EMAIL","sum_AMOUNT","sum_REVENUE","mindate_CLOSEDATEFULL","maxdate_CLOSEDATEFULL"
"8279","wmorsomt@examplecompany.com","345","51750","11-12-2020","11-12-2020"
"2071","fmarcinkusir@examplecompany.com","182","27300","05-03-2020","05-03-2020"
"2793","mdaburnkr@examplecompany.com","54","8100","03-15-2020","03-15-2020"
"6988","mroth6v@examplecompany.com","45","6750","08-03-2020","08-03-2020"
"7494","kreinbechiz@examplecompany.com","291","43650","06-02-2020","06-02-2020"
"4331","aricardonob@examplecompany.com","30","4500","06-28-2020","06-28-2020"
"7016","fhegdenl0@examplecompany.com","180","27000","10-14-2020","10-14-2020"
"7173","ogilffillanca@examplecompany.com","61","9150","03-10-2020","03-10-2020"
"8137","ebarberynh@examplecompany.com","31","4650","05-30-2020","05-30-2020"
"9970","msantoranj@examplecompany.com","53","7950","12-12-2019","12-12-2019"
"5537","rmacanelleymf@examplecompany.com","194","29100","08-18-2020","08-18-2020"
"5163","rseear84@examplecompany.com","150","22500","05-20-2020","05-20-2020"
"4426","jskallsk9@examplecompany.com","110","16500","07-03-2020","07-03-2020"
"8896","dtownshend2a@examplecompany.com","193","28950","08-24-2020","08-24-2020"
"8617","gshapiro4t@examplecompany.com","125","18750","03-11-2020","03-11-2020"
"5371","wwade5w@examplecompany.com","2","300","07-28-2020","07-28-2020"
"5833","csollynd@examplecompany.com","249","37350","03-23-2020","03-23-2020"
"9694","bellings40@examplecompany.com","11","1650","04-10-2020","04-10-2020"
"3790","ffitzjohn15@examplecompany.com","338","50700","12-28-2019","12-28-2019"
"3688","nhalliwellne@examplecompany.com","222","33300","01-16-2020","01-16-2020"
"2282","gbricksey3w@examplecompany.com","118","17700","04-21-2020","04-21-2020"
"1571","sbrocklebank8s@examplecompany.com","87","13050","09-20-2020","09-20-2020"
"9672","opendleberryj7@examplecompany.com","218","32700","06-01-2020","06-01-2020"
"7071","aidellg6@examplecompany.com","182","27300","06-27-2020","06-27-2020"
"7357","hkidstone5j@examplecompany.com","328","49200","05-21-2020","05-21-2020"
"5001","flittleton3j@examplecompany.com","21","3150","03-26-2020","03-26-2020"
"3633","pparfittcf@examplecompany.com","190","28500","12-15-2019","12-15-2019"
"5209","scockerelll9@examplecompany.com","97","14550","04-14-2020","04-14-2020"
"8017","abenninckik@examplecompany.com","20","3000","03-21-2020","03-21-2020"
"5445","sleer4f@examplecompany.com","347","52050","04-11-2020","04-11-2020"
"6835","dlamdengk@examplecompany.com","295","44250","12-07-2019","12-07-2019"
"4777","kblenkhorn2w@examplecompany.com","210","31500","09-23-2020","09-23-2020"
"8102","dmatijevicbs@examplecompany.com","24","3600","10-29-2020","10-29-2020"
"9204","mdibbertod@examplecompany.com","71","10650","06-30-2020","06-30-2020"
"1306","gwestbergj0@examplecompany.com","91","13650","03-16-2020","03-16-2020"
"9352","mrobletti0@examplecompany.com","69","10350","05-02-2020","05-02-2020"
"4364","nbarnfieldaj@examplecompany.com","275","41250","04-02-2020","04-02-2020"
"9481","edranfm@examplecompany.com","348","52200","03-05-2020","03-05-2020"
"8146","lzorzenoniez@examplecompany.com","288","43200","01-14-2020","01-14-2020"
"7482","fligerton2h@examplecompany.com","96","14400","05-09-2020","05-09-2020"
"8147","ivasilikha@examplecompany.com","96","14400","05-06-2020","05-06-2020"
"7201","bfaustad@examplecompany.com","232","34800","11-08-2020","11-08-2020"
"9206","bfitchet8j@examplecompany.com","110","16500","07-06-2020","07-06-2020"
"2318","ftebbeim@examplecompany.com","151","22650","01-01-2020","01-01-2020"
"1421","nturnello@examplecompany.com","328","49200","10-23-2020","10-23-2020"
"7645","acasacchia7g@examplecompany.com","234","35100","07-17-2020","07-17-2020"
"4553","mlendenn1@examplecompany.com","241","36150","09-08-2020","09-08-2020"
"4916","dlattos1n@examplecompany.com","113","16950","11-09-2020","11-09-2020"
"1531","bgibbeson6h@examplecompany.com","269","40350","12-11-2019","12-11-2019"
"4611","gcoiley9v@examplecompany.com","291","43650","03-06-2020","03-06-2020"
"5764","pmcmillan1f@examplecompany.com","275","41250","12-05-2019","06-28-2020"
"5181","nluscotti7@examplecompany.com","22","3300","07-29-2020","07-29-2020"
"3107","jsailesp6@examplecompany.com","260","39000","03-21-2020","03-21-2020"
"3733","fjacquet91@examplecompany.com","250","37500","03-24-2020","03-24-2020"
"3455","eserjenthj@examplecompany.com","199","29850","06-13-2020","06-13-2020"
"6051","khasluck5v@examplecompany.com","30","4500","12-13-2019","12-13-2019"
"1334","dklesel8r@examplecompany.com","290","43500","07-04-2020","07-04-2020"
"1976","eashman7s@examplecompany.com","94","14100","08-15-2020","08-15-2020"
"3427","csterke4z@examplecompany.com","55","8250","08-17-2020","08-17-2020"
"5119","csmelleyku@examplecompany.com","212","31800","11-17-2020","11-17-2020"
"2819","gjaquestpa@examplecompany.com","152","22800","05-24-2020","05-24-2020"
"1427","nbwyepv@examplecompany.com","197","29550","06-26-2020","06-26-2020"
"4075","ccunnanema@examplecompany.com","175","26250","09-14-2020","09-14-2020"
"2501","ahadleycz@examplecompany.com","306","45900","12-24-2019","12-24-2019"
"7348","rblinmanb1@examplecompany.com","204","30600","04-25-2020","04-25-2020"
"5297","hhawtryd6@examplecompany.com","41","6150","06-25-2020","06-25-2020"
"1646","omarena4@examplecompany.com","168","25200","02-05-2020","02-05-2020"
"2551","ndumbreckgv@examplecompany.com","299","44850","12-09-2019","12-09-2019"
"1827","ctullochor@examplecompany.com","165","24750","04-21-2020","04-21-2020"
"9026","tcrispeln@examplecompany.com","315","47250","07-11-2020","07-11-2020"
"5317","tbendall5k@examplecompany.com","280","42000","04-22-2020","04-22-2020"
"9013","dgarrat48@examplecompany.com","62","9300","09-13-2020","09-13-2020"
"3548","istreets7q@examplecompany.com","174","26100","04-10-2020","04-10-2020"
"2067","agullfb@examplecompany.com","128","19200","11-19-2019","11-19-2019"
"3237","tdickons5d@examplecompany.com","119","17850","08-27-2020","08-27-2020"
"9053","molechn3@examplecompany.com","108","16200","04-25-2020","04-25-2020"
"8302","dbeallb0@examplecompany.com","325","48750","08-05-2020","08-05-2020"
"9685","obaudichonn5@examplecompany.com","167","25050","06-09-2020","06-09-2020"
"3334","thuscroft9r@examplecompany.com","54","8100","03-21-2020","03-21-2020"
"7480","lbanfieldjd@examplecompany.com","189","28350","04-15-2020","04-15-2020"
"2945","kwoolastonk@examplecompany.com","92","13800","11-09-2020","11-09-2020"
"8904","gfreiberg1r@examplecompany.com","36","5400","04-17-2020","04-17-2020"
"7688","dsegrave9f@examplecompany.com","162","24300","02-21-2020","02-21-2020"
"6353","rdewargi@examplecompany.com","321","48150","04-16-2020","04-16-2020"
"9966","sstonardkl@examplecompany.com","284","42600","01-13-2020","01-13-2020"
"8544","afley50@examplecompany.com","16","2400","06-22-2020","06-22-2020"
"8277","cwardesworthjp@examplecompany.com","223","33450","03-21-2020","03-21-2020"
"8759","lbriston80@examplecompany.com","337","50550","05-09-2020","05-09-2020"
"3514","bmaccoughen8q@examplecompany.com","329","49350","01-25-2020","01-25-2020"
"3413","ttennewell5t@examplecompany.com","146","21900","06-16-2020","06-16-2020"
"3650","amussolini5l@examplecompany.com","231","34650","04-23-2020","04-23-2020"
"9714","lstrowgerp9@examplecompany.com","28","4200","01-30-2020","01-30-2020"
"7629","gbrakespearpy@examplecompany.com","9","1350","05-12-2020","05-12-2020"
"6454","gleroybv@examplecompany.com","116","17400","07-15-2020","07-15-2020"
"6085","mstorrierk8@examplecompany.com","159","23850","05-18-2020","05-18-2020"
"1679","scalwell7@examplecompany.com","105","15750","07-03-2020","07-03-2020"
"8314","abergeaugb@examplecompany.com","319","47850","08-04-2020","08-04-2020"
"3477","apentercost18@examplecompany.com","561","84150","04-19-2020","05-29-2020"
"8880","mbloypr@examplecompany.com","65","9750","11-29-2020","11-29-2020"
"1168","mtailbyf5@examplecompany.com","232","34800","05-25-2020","08-30-2020"
"1286","tmatchamj6@examplecompany.com","248","37200","08-18-2020","08-18-2020"
"4884","qminero8@examplecompany.com","87","13050","09-10-2020","09-10-2020"
"9598","sdumbarcm@examplecompany.com","207","31050","06-28-2020","06-28-2020"
"4830","ckleynb7@examplecompany.com","115","17250","01-13-2020","01-13-2020"
"1311","lpennacciq@examplecompany.com","178","26700","11-25-2020","11-25-2020"
"2156","bhawthorn4@examplecompany.com","27","4050","10-23-2020","10-23-2020"
"4516","carias1u@examplecompany.com","17","2550","03-13-2020","03-13-2020"
"1485","npicardh8@examplecompany.com","20","3000","08-10-2020","08-10-2020"
"2915","rmcquaideiu@examplecompany.com","245","36750","08-01-2020","08-01-2020"
"3188","esimion7x@examplecompany.com","212","31800","07-17-2020","07-17-2020"
"8501","ishewryqe@examplecompany.com","27","4050","09-12-2020","09-12-2020"
"7193","lfitzgerald62@examplecompany.com","157","23550","08-27-2020","08-27-2020"
"6629","cdainpd@examplecompany.com","17","2550","11-05-2020","11-05-2020"
"4255","amattin43@examplecompany.com","96","14400","07-18-2020","07-18-2020"
"2927","rorable52@examplecompany.com","215","32250","07-27-2020","07-27-2020"
"3486","tkapelhof7n@examplecompany.com","259","38850","09-24-2020","09-24-2020"
"1497","spoagn7@examplecompany.com","190","28500","07-20-2020","07-20-2020"
"9629","mcantonq@examplecompany.com","235","35250","05-05-2020","05-05-2020"
"7036","sgordgeb9@examplecompany.com","155","23250","04-30-2020","04-30-2020"
"1855","ecornuauph@examplecompany.com","331","49650","04-11-2020","04-11-2020"
"8001","psawfy@examplecompany.com","70","10500","12-01-2019","12-01-2019"
"9229","fjainee7@examplecompany.com","113","16950","05-16-2020","05-16-2020"
"3724","nkingslandmt@examplecompany.com","287","43050","07-28-2020","07-28-2020"
"4573","jluna5n@examplecompany.com","337","50550","11-13-2020","11-13-2020"
"8024","mbetterton68@examplecompany.com","334","50100","02-19-2020","02-19-2020"
"7466","cstillmanne9@examplecompany.com","107","16050","03-22-2020","03-22-2020"
"2008","arideoutit@examplecompany.com","341","51150","08-12-2020","08-12-2020"
"4675","swaylen21@examplecompany.com","330","49500","09-03-2020","09-03-2020"
"6290","ebartoshevichgz@examplecompany.com","301","45150","10-10-2020","10-10-2020"
"7546","bmcmorlandns@examplecompany.com","40","6000","09-03-2020","09-03-2020"
"4591","fmccoveneygf@examplecompany.com","123","18450","10-22-2020","10-22-2020"
"8755","rbeebeeix@examplecompany.com","294","44100","01-08-2020","01-08-2020"
"1173","dcops5f@examplecompany.com","154","23100","07-28-2020","07-28-2020"
"3959","gkillford7z@examplecompany.com","13","1950","07-25-2020","07-25-2020"
"3887","cquinney3h@examplecompany.com","55","8250","10-23-2020","10-23-2020"
"5189","mlegatai@examplecompany.com","130","19500","07-22-2020","07-22-2020"
"9023","ncleugherlt@examplecompany.com","276","41400","12-27-2019","12-27-2019"
"4661","nbeedell65@examplecompany.com","480","72000","04-05-2020","06-05-2020"
"1172","dstylesbf@examplecompany.com","61","9150","02-19-2020","02-19-2020"
"7191","rkupkeram@examplecompany.com","16","2400","03-23-2020","03-23-2020"
"7948","krocheil@examplecompany.com","125","18750","11-07-2019","11-07-2019"
"2114","cgrovekp@examplecompany.com","108","16200","05-23-2020","05-23-2020"
"3087","gkubicaao@examplecompany.com","221","33150","11-15-2019","11-15-2019"
"4035","ecanavanm7@examplecompany.com","57","8550","02-15-2020","02-15-2020"
"2723","gbullant72@examplecompany.com","94","14100","03-19-2020","03-19-2020"
"3669","hdimaggiolw@examplecompany.com","242","36300","01-01-2020","01-01-2020"
"4712","jpidduck8f@examplecompany.com","242","36300","06-05-2020","06-05-2020"
"3705","bpiel4y@examplecompany.com","238","35700","11-11-2020","11-11-2020"
"1288","jellowayjk@examplecompany.com","301","45150","10-29-2020","10-29-2020"
"4841","abarrasseoc@examplecompany.com","206","30900","07-20-2020","07-20-2020"
"8520","lcolquittk6@examplecompany.com","298","44700","07-22-2020","07-22-2020"
"1977","wdulen8u@examplecompany.com","93","13950","06-08-2020","06-08-2020"
"9808","pjenke0@examplecompany.com","209","31350","10-14-2020","10-14-2020"
"3646","bwarboys82@examplecompany.com","315","47250","07-16-2020","07-16-2020"
"2238","fpechanju@examplecompany.com","281","42150","07-17-2020","07-17-2020"
"8470","rgothardm9@examplecompany.com","317","47550","06-12-2020","06-12-2020"
"8473","akingzethci@examplecompany.com","93","13950","06-12-2020","06-12-2020"
"1970","egamageli@examplecompany.com","325","48750","10-26-2020","10-26-2020"
"2579","lphebeydr@examplecompany.com","17","2550","02-18-2020","02-18-2020"
"5611","dmcgirl8w@examplecompany.com","169","25350","07-25-2020","07-25-2020"
"7952","bkulleu@examplecompany.com","218","32700","06-11-2020","06-11-2020"
"1601","lsandrypu@examplecompany.com","130","19500","03-29-2020","03-29-2020"
"7769","dlehrmannmy@examplecompany.com","259","38850","01-07-2020","01-07-2020"
"3641","zwoodlandke@examplecompany.com","233","34950","09-25-2020","09-25-2020"
"4336","adunnionpx@examplecompany.com","192","28800","11-09-2019","11-09-2019"
"3664","flutman7m@examplecompany.com","284","42600","05-22-2020","05-22-2020"
"9776","jclemes6e@examplecompany.com","124","18600","09-06-2020","09-06-2020"
"5012","cwalsterqa@examplecompany.com","89","13350","10-18-2020","10-18-2020"
"8249","hloddenef@examplecompany.com","147","22050","11-15-2019","11-15-2019"
"4790","lmithond4@examplecompany.com","316","47400","05-28-2020","05-28-2020"
"2147","hbuckstonap@examplecompany.com","171","25650","02-25-2020","02-25-2020"
"9262","lgrenkov86@examplecompany.com","219","32850","07-06-2020","07-06-2020"
"8248","hmynard11@examplecompany.com","23","3450","03-19-2020","03-19-2020"
"9877","dadamiec3x@examplecompany.com","57","8550","03-24-2020","03-24-2020"
"5796","ffinders1@examplecompany.com","312","46800","12-20-2019","12-20-2019"
"3763","rwhimpmg@examplecompany.com","262","39300","02-14-2020","02-14-2020"
"7254","tdolligonkk@examplecompany.com","164","24600","02-27-2020","02-27-2020"
"4018","rlowlessi5@examplecompany.com","60","9000","03-07-2020","03-07-2020"
"2769","ahully9y@examplecompany.com","99","14850","01-18-2020","01-18-2020"
"3167","cigod7@examplecompany.com","64","9600","05-19-2020","05-19-2020"
"1596","gbalcock46@examplecompany.com","102","15300","09-09-2020","09-09-2020"
"7904","kclelland1c@examplecompany.com","138","20700","08-26-2020","08-26-2020"
"6155","cgauchfu@examplecompany.com","23","3450","05-19-2020","05-19-2020"
"8392","jsaziocx@examplecompany.com","227","34050","08-12-2020","08-12-2020"
"5539","ceckersleydf@examplecompany.com","227","34050","01-09-2020","01-09-2020"
"7116","cheyworth5c@examplecompany.com","203","30450","12-05-2019","12-05-2019"
"5887","pknucklesaf@examplecompany.com","165","24750","10-11-2020","10-11-2020"
"2719","bbackhurstf7@examplecompany.com","178","26700","05-04-2020","05-04-2020"
"8842","lhunnywell3g@examplecompany.com","62","9300","08-06-2020","08-06-2020"
"1754","fclemintonipe@examplecompany.com","58","8700","03-13-2020","03-13-2020"
"4619","dtew5e@examplecompany.com","8","1200","05-13-2020","05-13-2020"
"3511","wmcgluegl@examplecompany.com","31","4650","12-19-2019","12-19-2019"
"2838","pshearsby7w@examplecompany.com","127","19050","11-10-2020","11-10-2020"
"2273","gcuolahan5y@examplecompany.com","240","36000","01-30-2020","01-30-2020"
"3324","lcaudellk7@examplecompany.com","250","37500","05-31-2020","05-31-2020"
"8067","rcajklerhb@examplecompany.com","233","34950","11-19-2020","11-19-2020"
"9544","earman9a@examplecompany.com","180","27000","07-21-2020","07-21-2020"
"8368","rmansonnk@examplecompany.com","68","10200","02-23-2020","02-23-2020"
"8865","jminshullcy@examplecompany.com","86","12900","06-01-2020","06-01-2020"
"7380","mwintle7a@examplecompany.com","36","5400","03-29-2020","03-29-2020"
"2609","rdraycottcw@examplecompany.com","18","2700","05-08-2020","05-08-2020"
"8687","cpridieg@examplecompany.com","328","49200","02-20-2020","02-20-2020"
"9254","cjirusek1z@examplecompany.com","305","45750","01-06-2020","01-06-2020"
"4400","rhaylesiq@examplecompany.com","211","31650","12-26-2019","12-26-2019"
"2529","amcmichan2y@examplecompany.com","165","24750","12-16-2019","12-16-2019"
"1835","bdibsdalen8@examplecompany.com","199","29850","11-15-2019","11-15-2019"
"6834","lpavitthw@examplecompany.com","84","12600","07-18-2020","07-18-2020"
"1656","tperree3v@examplecompany.com","314","47100","06-22-2020","06-22-2020"
"4671","dscroggeska@examplecompany.com","47","7050","10-24-2020","10-24-2020"
"4567","nfrancey3b@examplecompany.com","58","8700","07-18-2020","07-18-2020"
"2875","gmasdingf3@examplecompany.com","334","50100","11-19-2019","11-19-2019"
"8257","ajocelyncp@examplecompany.com","277","41550","08-27-2020","08-27-2020"
"9725","dboissieuxg1@examplecompany.com","230","34500","05-22-2020","05-22-2020"
"4693","pullyatthq@examplecompany.com","92","13800","07-19-2020","07-19-2020"
"9001","pbiggans9d@examplecompany.com","20","3000","08-19-2020","08-19-2020"
"5082","kleaming7c@examplecompany.com","309","46350","01-24-2020","01-24-2020"
"2648","hcluniem4@examplecompany.com","201","30150","05-06-2020","05-06-2020"
"8765","bsaintsbury85@examplecompany.com","94","14100","12-24-2019","12-24-2019"
"5603","jaldingtonhg@examplecompany.com","214","32100","09-17-2020","09-17-2020"
"2357","ajohnssonc9@examplecompany.com","193","28950","04-12-2020","04-12-2020"
"6217","rankrett63@examplecompany.com","266","39900","03-24-2020","03-24-2020"
"3277","ddarkinsml@examplecompany.com","76","11400","12-04-2019","12-04-2019"
"6437","pcator1o@examplecompany.com","122","18300","05-03-2020","05-03-2020"
"2892","critchley2b@examplecompany.com","347","52050","05-03-2020","05-03-2020"
"5750","lsporec5@examplecompany.com","112","16800","11-28-2020","11-28-2020"
"5413","egude94@examplecompany.com","178","26700","05-26-2020","05-26-2020"
"9745","rshipleyiv@examplecompany.com","223","33450","06-03-2020","06-03-2020"
"9139","fhubbard49@examplecompany.com","67","10050","12-12-2019","12-12-2019"
"5601","rbembrickm3@examplecompany.com","171","25650","06-26-2020","06-26-2020"
"3992","sdarracottcc@examplecompany.com","112","16800","01-01-2020","01-01-2020"
"8193","epedroccoea@examplecompany.com","35","5250","03-25-2020","03-25-2020"
"8562","fdradey7p@examplecompany.com","2","300","06-04-2020","06-04-2020"
"8220","thayesmanhh@examplecompany.com","80","12000","04-24-2020","04-24-2020"
"5515","epaulillo6p@examplecompany.com","48","7200","04-21-2020","04-21-2020"
"7730","sreubenscq@examplecompany.com","113","16950","05-28-2020","05-28-2020"
"7558","dchartres8k@examplecompany.com","122","18300","07-10-2020","07-10-2020"
"9956","chowiesonag@examplecompany.com","271","40650","06-15-2020","06-15-2020"
"1560","delstub9q@examplecompany.com","87","13050","05-15-2020","05-15-2020"
"3009","ssynkec6@examplecompany.com","40","6000","04-27-2020","04-27-2020"
"9485","twotherspoon6n@examplecompany.com","239","35850","08-14-2020","08-14-2020"
"8039","bmilammq@examplecompany.com","310","46500","11-09-2019","11-09-2019"
"2101","kcasbolt7j@examplecompany.com","152","22800","03-25-2020","03-25-2020"
"5843","wglowacki9u@examplecompany.com","57","8550","11-20-2020","11-20-2020"
